id,anchor,target,context,title,label
ed1c4e525eb105fe,transmit alarm,display indicator,G08,signalling,0.0
5386316f318f5221,locking formation,retaining element,B60,vehicles in general,0.25
1544ca6753fcbddd,lateral power,transducer,H01,basic electric elements,0.25
f9d8979b94cec923,spreader body,spreader,A01,agriculture; forestry; animal husbandry; hunting; trapping; fishing,0.75
e151ca5ea5cc0f08,high gradient magnetic separators,magnetic filtration,B03,separation of solid materials using liquids or using pneumatic tables or jigs; magnetic or electrostatic separation of solid materials from solid materials or fluids; separation by high-voltage electric fields,0.5
97b41211c765640f,pulsed plasma,radio frequency plasma,H05,electric techniques not otherwise provided for,0.5
0651bf777c35ca91,deflect light,bending moment,H01,basic electric elements,0.25
80e7ed1ccdbb455e,shaped substrates,shape substrates,H01,basic electric elements,1.0
82d3e01ecf6f9b45,provide for tuning,turning machine,H01,basic electric elements,0.0
60a6f7b00be59a3a,material formation,composite material formation,H01,basic electric elements,0.5
1a0201c697261951,sheet supply roller,pickup roller,B65,conveying; packing; storing; handling thin or filamentary material,0.5
c0de0e40c11d8b93,clocked storage,flip flop,H03,basic electronic circuitry,0.25
82991f8229bbcac6,sawtooth waves,capacitor,G04,horology,0.25
0e9d2368ac2bfe79,starch component,thermoplastic starch,D01,natural or man-made threads or fibres; spinning,0.5
f51df650e7683930,liquid reservoirs,chambers,B01,physical or chemical processes or apparatus in general,0.5
708dab55ab9e64a3,siloxane based,polysiloxane based,C04,cements; concrete; artificial stone; ceramics; refractories,0.75
fbd9034a9b0390b4,time domain equalization,channel time,H03,basic electronic circuitry,0.5
a8c45b7880d80e63,predetermined acceleration,predetermined deceleration,B66,hoisting; lifting; hauling,0.25
8098a29f4d793611,glass part,lens,B41,printing; lining machines; typewriters; stamps,0.25
91ebeaea01f4dc11,vertical chute,vertical farming,B65,conveying; packing; storing; handling thin or filamentary material,0.0
37052764af94d7a6,content analysis,analytics,B66,hoisting; lifting; hauling,0.5
f9776970166126a1,self resonance frequency,natural resonance,H01,basic electric elements,0.5
a1ecbb03692db194,illumination condition,adjustment gap,G03,photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography,0.0
5725a8995cd18971,pendent,hollow,B65,conveying; packing; storing; handling thin or filamentary material,0.25
beb2accdac7306c4,inner fluid conduit,fluid entry point,G01,measuring; testing,0.5
35882fab4ec027c4,personage,distinguished person,A63,sports; games; amusements,0.5
9e3eca9780ed955c,clear buffer,polymer,G02,optics,0.0
025d8390d281920e,battery monitoring circuit,conventional battery management apparatus,G01,measuring; testing,0.5
45beb9c008949994,wedge device,thrust washer,F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,0.25
164044b0db62b222,compression loss,compression leakage,F01,machines or engines in general; engine plants in general; steam engines,0.75
9e4fc60eee185e05,cervical support,cervical support collar,A47,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,0.75
9bc456fb2e58d1b0,organic starting,organic starting,B61,railways,1.0
ffaecef8ece6fa1f,oxygen lean,substantial oxygen,C01,inorganic chemistry,0.5
2552099f508ad04b,bandedge,short wavelength edge,H01,basic electric elements,0.5
784a15d14d445578,smooth outer surface,substantially smooth outer surface,C21,metallurgy of iron,0.5
00677e646ba50c4e,vertical chute,plane chute,B65,conveying; packing; storing; handling thin or filamentary material,0.25
ffd9bdfba2bee3b3,wire grid polarization,wire stem,G02,optics,0.0
efcf25374ed42c40,connect to electrode structure,utilize analog electrode,H01,basic electric elements,0.5
3c24789b3f8fd2c7,gas leak,fuel gas leak,F17,storing or distributing gases or liquids,0.75
8022017fce080ffe,dual clutch,twin clutch transmission,B60,vehicles in general,0.75
44710305fe8635f9,board id,board information,H05,electric techniques not otherwise provided for,0.75
64bfea4adc11e800,methoxyethylamine,aminoethyl methyl ether,C07,organic chemistry,0.75
915ef18a8aa71a62,laminated wall,ceiling claddings,C03,glass; mineral or slag wool,0.25
86ac7dc96ff05818,fan rotation speed,cooling fan speed,F01,machines or engines in general; engine plants in general; steam engines,0.5
c1dff6c9ff6456d1,fountain head,bu ber,E03,water supply; sewerage,0.0
4f8d18e7ee6f98e9,abnormal position,locked position,D03,weaving,0.5
3f4bcfabb130c05a,speed control means,drive device,H02,generation; conversion or distribution of electric power,0.25
9b812feac17b7531,olefin production,production of eggs,C10,"petroleum, gas or coke industries; technical gases containing carbon monoxide; fuels; lubricants; peat",0.0
d3e544e185c0e906,expandable scaffold,compressible,A61,medical or veterinary science; hygiene,0.25
f80c8f9685c13dc6,provide by terminals,provide by user terminals,H04,electric communication technique,0.5
4d3823c95af7c9fe,predetermined acceleration,acceleration,B27,working or preserving wood or similar material; nailing or stapling machines in general,0.5
31ff91c62ff97022,inorganic hybrid,wearable devices,H01,basic electric elements,0.25
ac7c9cd1967fd23e,stability function,kidney function,B60,vehicles in general,0.0
ffa9a220b226b356,walnut oil,oil care,C08,organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon,0.0
7aede084ba213283,imidazo,images,A61,medical or veterinary science; hygiene,0.0
