id,anchor,target,context,title,label
5386316f318f5221,locking formation,retaining element,B60,vehicles in general,0.25
1544ca6753fcbddd,lateral power,transducer,H01,basic electric elements,0.25
f9d8979b94cec923,spreader body,spreader,A01,agriculture; forestry; animal husbandry; hunting; trapping; fishing,0.75
e151ca5ea5cc0f08,high gradient magnetic separators,magnetic filtration,B03,separation of solid materials using liquids or using pneumatic tables or jigs; magnetic or electrostatic separation of solid materials from solid materials or fluids; separation by high-voltage electric fields,0.5
97b41211c765640f,pulsed plasma,radio frequency plasma,H05,electric techniques not otherwise provided for,0.5
0651bf777c35ca91,deflect light,bending moment,H01,basic electric elements,0.25
125aa21bd2ccc2ba,mayenite,limestone watch,F27,furnaces; kilns; ovens; retorts,0.0
82d3e01ecf6f9b45,provide for tuning,turning machine,H01,basic electric elements,0.0
60a6f7b00be59a3a,material formation,composite material formation,H01,basic electric elements,0.5
c0de0e40c11d8b93,clocked storage,flip flop,H03,basic electronic circuitry,0.25
71faf441168a0fe7,dicy,disc,C08,organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon,0.0
443d1eaa2e3f7ac8,main pulse laser,laser printer,H05,electric techniques not otherwise provided for,0.0
82991f8229bbcac6,sawtooth waves,capacitor,G04,horology,0.25
0e9d2368ac2bfe79,starch component,thermoplastic starch,D01,natural or man-made threads or fibres; spinning,0.5
f51df650e7683930,liquid reservoirs,chambers,B01,physical or chemical processes or apparatus in general,0.5
c51b307f777a8895,val ile,leu val,C07,organic chemistry,0.25
ecac25a6eadf98a5,package member,flexible member,A61,medical or veterinary science; hygiene,0.5
c79ae4f09b7232f4,lift element,cam element,D01,natural or man-made threads or fibres; spinning,0.25
a8c45b7880d80e63,predetermined acceleration,predetermined deceleration,B66,hoisting; lifting; hauling,0.25
8098a29f4d793611,glass part,lens,B41,printing; lining machines; typewriters; stamps,0.25
37052764af94d7a6,content analysis,analytics,B66,hoisting; lifting; hauling,0.5
8a62e7a8c30e9bf7,breech mechanism,magazine,B25,hand tools; portable power-driven tools; manipulators,0.25
